% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 19:30
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1.175                                             0.08566027065485388                               0.08566027065485388                               0.9999999999999993
1.175                                             0.08909627794419768                               0.08909627794419768                               1
1.175                                             0.0890999990822061                                0.0890999990822061                                0.9999999999999992
1.175                                             0.09481152113973634                               0.09481152113973634                               0.9999999999999997
1.175                                             0.0948115215000439                                0.0948115215000439                                1
1.175                                             0.09933124381140916                               0.09933124381140916                               0.9999999999999989
1.175                                             0.10279156839260722                               0.10279156839260722                               0.9999999999999998
1.175                                             0.10279225925798686                               0.10279225925798688                               1.0000000000000038
1.175                                             0.10528623743908709                               0.1052862374390871                                0.9999999999999986
1.175                                             0.10528625992788508                               0.10528625992788508                               0.9999999999999991
1.175                                             0.11302419380334902                               0.11302419380334902                               1.0000000000000016
1.175                                             0.11302419400374941                               0.11302419400374943                               1.0000000000000002
1.175                                             0.11657010167817052                               0.11657010167817052                               1.0000000000000004
1.175                                             0.12549191226355258                               0.12549191226355258                               0.9999999999999998
1.175                                             0.1254919236070014                                0.1254919236070014                                0.9999999999999999
1.175                                             0.13560325362774617                               0.13560325362774617                               0.9999999999999979
1.175                                             0.14017372120594968                               0.14017372120594968                               1.0000000000000009
1.175                                             0.14017372177906973                               0.14017372177906973                               0.9999999999999999
1.175                                             0.15704518824040142                               0.15704518824040142                               0.9999999999999996
1.175                                             0.15704518909321155                               0.15704518909321155                               1.0000000000000022
1.175                                             0.15815794206272082                               0.15815794206272082                               1
1.175                                             0.1581580501742116                                0.1581580501742116                                1.0000000000000022
1.175                                             0.1760788952704896                                0.1760788952704896                                0.9999999999999991
1.175                                             0.1760788957650364                                0.1760788957650364                                1.0000000000000009
1.175                                             0.19479438218648942                               0.19479438218648942                               1
1.175                                             0.1972443494466896                                0.1972443494466896                                0.9999999999999984
1.175                                             0.19724435106475047                               0.1972443510647505                                1.000000000000001
1.175                                             0.20105637470537313                               0.20105637470537316                               0.9999999999999993
1.2                                               0.08451180623816286                               0.08451180623816286                               0.9999999999999988
1.2                                               0.08566131823949172                               0.08566131823949172                               1.0000000000000013
1.2                                               0.08566131877934058                               0.08566131877934059                               1.0000000000000002
1.2                                               0.08909672612832542                               0.08909672612832542                               0.9999999999999997
1.2                                               0.08910014150578648                               0.08910014150578649                               1.0000000000000007
1.2                                               0.09481164412817804                               0.09481164412817804                               0.9999999999999996
1.2                                               0.09481164454913173                               0.09481164454913173                               0.9999999999999988
1.2                                               0.10092937379842812                               0.10092937379842812                               0.9999999999999996
1.2                                               0.10279158347410096                               0.10279158347410097                               1.0000000000000022
1.2                                               0.10279275411480449                               0.1027927541148045                                0.9999999999999981
1.2                                               0.10684878998756571                               0.10684878998756571                               0.9999999999999969
1.2                                               0.10684894779772423                               0.10684894779772425                               1.0000000000000007
1.2                                               0.11302420470560194                               0.11302420470560194                               1.0000000000000007
1.2                                               0.11302420489271955                               0.11302420489271955                               1.0000000000000016
1.2                                               0.11810567465316446                               0.11810567465316447                               0.9999999999999993
1.2                                               0.1254919146087746                                0.1254919146087746                                0.9999999999999984
1.2                                               0.12549192513993046                               0.12549192513993046                               0.9999999999999996
1.2                                               0.13683495457610037                               0.13683495457610037                               1.0000000000000002
1.2                                               0.14017372141534196                               0.14017372141534196                               1.0000000000000007
1.2                                               0.14017372200971873                               0.14017372200971873                               0.9999999999999994
1.2                                               0.15704518821655675                               0.15704518821655677                               0.999999999999998
1.2                                               0.1570451891423477                                0.1570451891423477                                1.0000000000000016
1.2                                               0.15931128968299701                               0.15931128968299701                               1.0000000000000002
1.2                                               0.1593115151626462                                0.1593115151626462                                0.9999999999999997
1.2                                               0.1760788952330421                                0.1760788952330421                                0.9999999999999989
1.2                                               0.17607889572818203                               0.17607889572818203                               0.9999999999999987
1.2                                               0.195845242385766                                 0.19584524238576603                               1.000000000000001
1.2                                               0.19724434935866614                               0.19724434935866614                               1.0000000000000009
