x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
28	43.42565349	45.80267407	46.80020043	46.8002228	49.83293273	49.83296253	54.87316202	54.87316568	55.01180673	55.07980765	61.90682802	61.90684229	70.91257667	70.91257847	81.86358816	81.86359584	83.56014992	85.57113269	94.72827532	94.72827824
28.2	43.40746489	44.22683544	45.19911	45.19912469	48.20742238	48.2074497	53.20764021	53.20764123	55.01095036	55.07896172	60.18460784	60.18462161	69.11624972	69.11625283	79.97485889	79.97487562	83.55985339	85.57081668	92.72786297	92.72787018
28.4	42.65770978	43.46259063	43.6778974	43.67790657	46.66233177	46.6623546	51.6230413	51.62304322	55.01035719	55.07837285	58.54399611	58.54400772	67.40235574	67.4023584	78.1695204	78.16952387	83.55957894	85.57052143	90.81188031	90.81188248
28.6	41.23661866	42.23153335	42.23153991	43.44457978	45.19252842	45.19254592	50.11423121	50.11423362	55.00991657	55.07793468	56.9798378	56.97985083	65.76573041	65.76573249	76.4423801	76.44238287	83.55932136	85.57024181	88.97513271	88.97513558
28.8	39.87148093	40.85535179	40.8553569	43.44079421	43.79328903	43.79330433	48.67648158	48.67648472	55.00957401	55.07759357	55.4874031	55.48741651	64.20164338	64.20164402	74.78872565	74.78872835	83.55907645	85.56997356	87.21293735	87.21293977
29	38.56997506	39.54498031	39.54498484	42.46020555	42.46022074	43.43915443	47.30537107	47.3053723	54.06225057	54.06226216	55.00929813	55.07731859	62.70562513	62.70562635	73.20405579	73.20405642	83.55884067	85.52074476	85.52074981	85.56971301
29.2	37.3294405	38.29635013	38.29635231	41.18918329	41.18919464	43.43823512	45.9967801	45.9967822	52.70023422	52.70024568	55.0090696	55.07709059	61.27349518	61.27349687	71.68413656	71.68413754	83.55861092	83.89426154	83.89426379	85.56945687
29.4	36.14656199	37.10576398	37.10576709	39.9765141	39.97652596	43.43764417	44.74701042	44.74701254	51.3976664	51.39767781	55.00887583	55.07689714	59.90158964	59.90159055	70.2253476	70.22535044	82.32993609	82.32993791	83.55838444	85.5692021
29.6	35.01797728	35.9697164	35.96971757	38.81867542	38.81868578	43.43723019	43.55251792	43.5525199	50.15097802	50.15098855	55.00870825	55.07672973	58.58630281	58.58630342	68.82403993	68.8240409	80.82405685	80.82405921	83.55815861	85.56894568
29.8	33.94048152	34.88493263	34.88493499	37.71238308	37.71239258	42.41000851	42.41001041	43.4369224	48.9568597	48.95686848	55.00856082	55.07658237	57.32430441	57.32430608	67.47685359	67.47685741	79.37323765	79.3732391	83.5579308	85.56868452
