% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 17 2026, 02:13
% Table:              Tabla 7 - Valor propio 3
% B (T)                                           n                                                 lambda                                            Energía propia (meV)                              Probabilidad total (1)
5.6000000000000005                                3                                                 0.04238537082739216                               42.38537082739216                                 1.0000000000000002
5.6000000000000005                                3                                                 0.04637162636303073                               46.37162636303072                                 0.9999999999999998
5.6000000000000005                                3                                                 0.052725083986498326                              52.725083986498326                                0.9999999999999999
5.6000000000000005                                3                                                 0.05583178703950081                               55.8317870395008                                  0.9999999999999998
5.6000000000000005                                3                                                 0.06255705664948694+2.249299831150976E-14i        62.557056649486924+2.2492998311509756E-11i        1.0000000000000018
5.6000000000000005                                3                                                 0.06392227436827702-5.756747000439762E-12i        63.922274368277016-5.756747000439762E-9i          1.0000000000000002
5.6000000000000005                                3                                                 0.06453646206136149-4.6351596205822806E-11i       64.53646206136148-4.6351596205822806E-8i          0.9999999999999999
5.800000000000001                                 1                                                 0.012350994587241537                              12.350994587241537                                1.0000000000000018
5.800000000000001                                 1                                                 0.014062659193240193                              14.062659193240192                                1.0000000000000002
5.800000000000001                                 1                                                 0.014753165618262745                              14.753165618262743                                0.9999999999999992
5.800000000000001                                 1                                                 0.015995771165955325                              15.995771165955324                                1.0000000000000016
5.800000000000001                                 1                                                 0.01664957928870925                               16.649579288709244                                1.0000000000000036
5.800000000000001                                 1                                                 0.01712430674822979                               17.124306748229788                                0.999999999999999
5.800000000000001                                 1                                                 0.019299894709998447                              19.299894709998444                                0.9999999999999996
5.800000000000001                                 1                                                 0.021278918395233673                              21.27891839523367                                 1.000000000000001
5.800000000000001                                 1                                                 0.023979902996975083                              23.97990299697508                                 0.9999999999999999
5.800000000000001                                 1                                                 0.0270768559734052                                27.076855973405195                                1.000000000000001
5.800000000000001                                 1                                                 0.02992335580630101                               29.923355806301007                                0.9999999999999993
5.800000000000001                                 1                                                 0.034485870292879986                              34.48587029287998                                 0.9999999999999991
5.800000000000001                                 1                                                 0.037049113285933855                              37.04911328593385                                 1.0000000000000004
5.800000000000001                                 1                                                 0.04347304686285953                               43.47304686285952                                 1.0000000000000004
5.800000000000001                                 1                                                 0.04528964858169386                               45.28964858169386                                 1.000000000000002
5.800000000000001                                 1                                                 0.04597357072384253                               45.97357072384253                                 0.9999999999999986
5.800000000000001                                 1                                                 0.053992617389824804-6.098441875204249E-15i       53.9926173898248-6.098441875204248E-12i           0.9999999999999993
