% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 21:01
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
2.06                                              0.09095912027900496                               0.09095912027900496                               0.9999999999999998
2.08                                              0.08371053102508642                               0.08371053102508642                               0.9999999999999998
2.08                                              0.08490757070814765                               0.08490757070814767                               0.9999999999999986
2.08                                              0.08562218006201236                               0.08562218006201236                               0.9999999999999996
2.08                                              0.08909453040082596                               0.08909453040082596                               1.0000000000000029
2.08                                              0.09119938821447887                               0.09119938821447887                               0.9999999999999966
2.1                                               0.08386955123184718                               0.08386955123184718                               1.0000000000000004
2.1                                               0.08499868228103415                               0.08499868228103416                               0.9999999999999994
2.1                                               0.0856242990990952                                0.0856242990990952                                1
2.1                                               0.08909427360709082                               0.08909427360709082                               1.0000000000000009
2.1                                               0.09143571060015723                               0.09143571060015725                               0.9999999999999993
2.12                                              0.08399990936126922                               0.08399990936126922                               0.9999999999999996
2.12                                              0.08511417143380623                               0.08511417143380623                               0.9999999999999998
2.12                                              0.08562622146864611                               0.08562622146864611                               1.0000000000000004
2.12                                              0.08562622228499124                               0.08562622228499124                               0.9999999999999997
2.12                                              0.08909432271931925                               0.08909432271931925                               0.999999999999999
2.14                                              0.08410197943324618                               0.08410197943324618                               0.9999999999999983
2.14                                              0.08525374414307695                               0.08525374414307695                               0.9999999999999993
2.14                                              0.08562797258500823                               0.08562797258500825                               1.0000000000000018
2.14                                              0.08909476692020829                               0.08909476692020829                               0.9999999999999997
2.14                                              0.09189660380891905                               0.09189660380891905                               0.9999999999999971
2.16                                              0.08417939626850204                               0.08417939626850204                               1.0000000000000004
2.16                                              0.0854138522004705                                0.0854138522004705                                1.0000000000000016
2.16                                              0.08562957433950386                               0.08562957433950386                               0.9999999999999988
2.16                                              0.08909466813459277                               0.08909466813459277                               1.0000000000000024
2.16                                              0.09212129315177574                               0.09212129315177574                               0.9999999999999989
2.1799999999999997                                0.08423738753497735                               0.08423738753497735                               0.9999999999999998
2.1799999999999997                                0.08558934461206574                               0.08558934461206574                               1.0000000000000009
2.1799999999999997                                0.08563104520685272                               0.08563104520685272                               0.9999999999999986
2.1799999999999997                                0.08909515904590662                               0.08909515904590662                               0.9999999999999994
2.1799999999999997                                0.09234221495988332                               0.09234221495988332                               1.0000000000000013
2.2                                               0.08428100290771595                               0.08428100290771595                               1.0000000000000004
2.2                                               0.0856324007352103                                0.0856324007352103                                1
