% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 11 2026, 13:52
% Table:              Tabla 4 - Valor propio
% n                                               lambda                                            Energía propia (meV)                              Probabilidad total (1)
2                                                 0.017950210624985474                              17.95021062498547                                 1.0000000000000024
2                                                 0.020299384567480816                              20.299384567480814                                1.0000000000000004
2                                                 0.02029938516601318                               20.299385166013177                                1
2                                                 0.02418565361408677                               24.185653614086764                                0.9999999999999978
2                                                 0.024185655755168345                              24.18565575516834                                 1.000000000000001
2                                                 0.029567235620350157                              29.567235620350154                                0.9999999999999992
2                                                 0.029567239075462493                              29.56723907546249                                 1.0000000000000004
2                                                 0.0363891123194003                                36.38911231940029                                 0.9999999999999984
2                                                 0.036389112906308044                              36.38911290630804                                 1
2                                                 0.04334968080971989                               43.34968080971988                                 0.9999999999999993
2                                                 0.04458660687327527                               44.586606873275265                                0.9999999999999996
2                                                 0.044586608354962434                              44.586608354962436                                0.9999999999999987
2                                                 0.0540898796617054                                54.08987966170539                                 1.0000000000000004
2                                                 0.054089880769209314                              54.08988076920931                                 1.0000000000000009
2                                                 0.0549407083990193                                54.94070839901929                                 1.0000000000000024
2                                                 0.055008754675715796                              55.008754675715785                                0.9999999999999993
2                                                 0.06482881493346193                               64.82881493346193                                 1.0000000000000022
2                                                 0.06482881539532584                               64.82881539532583                                 0.9999999999999989
2                                                 0.0683719665971223                                68.3719665971223                                  0.9999999999999996
2                                                 0.06920423202555065                               69.20423202555065                                 0.9999999999999997
2                                                 0.06920425696150763                               69.20425696150762                                 0.9999999999999998
2                                                 0.07169093359893672                               71.69093359893671                                 1.0000000000000016
2                                                 0.07169133824872391                               71.69133824872391                                 1.0000000000000004
2                                                 0.0758516475917145                                75.8516475917145                                  0.9999999999999996
2                                                 0.07585165604810928                               75.85165604810928                                 0.9999999999999993
2                                                 0.07673759550654966                               76.73759550654964                                 0.9999999999999983
2                                                 0.0767375968633302                                76.7375968633302                                  1.000000000000001
2                                                 0.08167715908828105                               81.67715908828103                                 1.0000000000000016
2                                                 0.08167717207257592                               81.67717207257591                                 1.0000000000000009
2                                                 0.08355056595489141                               83.5505659548914                                  1.000000000000003
2                                                 0.08551594313585459                               85.51594313585457                                 1
2                                                 0.08917087875865347                               89.17087875865346                                 0.9999999999999997
2                                                 0.0891708846681273                                89.17088466812729                                 1.0000000000000009
2                                                 0.0897581855471035                                89.7581855471035                                  1
2                                                 0.08975818773825878                               89.75818773825877                                 0.9999999999999993
2                                                 0.09833029270777836                               98.33029270777836                                 0.9999999999999999
